observation_date,PCU9241269241265
1998-06-01,100.000
1998-07-01,99.700
1998-08-01,99.700
1998-09-01,99.800
1998-10-01,99.500
1998-11-01,99.700
1998-12-01,99.700
1999-01-01,99.600
1999-02-01,99.500
1999-03-01,99.100
1999-04-01,99.200
1999-05-01,99.200
1999-06-01,99.300
1999-07-01,99.400
1999-08-01,99.400
1999-09-01,99.600
1999-10-01,99.800
1999-11-01,99.900
1999-12-01,100.200
2000-01-01,100.500
2000-02-01,100.600
2000-03-01,100.700
2000-04-01,101.100
2000-05-01,101.800
2000-06-01,101.900
2000-07-01,102.200
2000-08-01,102.100
2000-09-01,102.400
2000-10-01,102.700
2000-11-01,103.000
2000-12-01,103.100
2001-01-01,103.100
2001-02-01,103.100
2001-03-01,103.400
2001-04-01,103.400
2001-05-01,103.800
2001-06-01,103.900
2001-07-01,103.600
2001-08-01,103.800
2001-09-01,104.100
2001-10-01,104.400
2001-11-01,104.500
2001-12-01,104.400
2002-01-01,104.400
2002-02-01,104.400
2002-03-01,104.600
2002-04-01,104.600
2002-05-01,104.700
2002-06-01,105.400
2002-07-01,105.500
2002-08-01,105.600
2002-09-01,106.000
2002-10-01,106.500
2002-11-01,106.900
2002-12-01,106.900
2003-01-01,107.000
2003-02-01,107.000
2003-03-01,107.100
2003-04-01,107.400
2003-05-01,108.600
2003-06-01,108.700
2003-07-01,109.000
2003-08-01,109.000
2003-09-01,109.300
2003-10-01,109.800
2003-11-01,110.100
2003-12-01,110.100
2004-01-01,110.200
2004-02-01,110.200
2004-03-01,110.200
2004-04-01,110.400
2004-05-01,110.800
2004-06-01,110.800
2004-07-01,110.800
2004-08-01,111.200
2004-09-01,111.800
2004-10-01,112.100
2004-11-01,112.200
2004-12-01,112.000
2005-01-01,112.000
2005-02-01,112.000
2005-03-01,112.200
2005-04-01,112.100
2005-05-01,112.100
2005-06-01,112.400
2005-07-01,112.400
2005-08-01,112.300
2005-09-01,112.600
2005-10-01,112.900
2005-11-01,113.100
2005-12-01,113.000
2006-01-01,113.000
2006-02-01,113.000
2006-03-01,113.100
2006-04-01,113.000
2006-05-01,113.000
2006-06-01,113.000
2006-07-01,113.300
2006-08-01,113.400
2006-09-01,113.400
2006-10-01,113.400
2006-11-01,112.700
2006-12-01,112.700
2007-01-01,112.800
2007-02-01,112.700
2007-03-01,112.400
2007-04-01,112.500
2007-05-01,112.500
2007-06-01,112.500
2007-07-01,112.500
2007-08-01,112.500
2007-09-01,112.500
2007-10-01,112.600
2007-11-01,112.800
2007-12-01,111.700
2008-01-01,111.600
2008-02-01,111.300
2008-03-01,111.600
2008-04-01,111.500
2008-05-01,111.500
2008-06-01,111.800
2008-07-01,111.600
2008-08-01,111.700
2008-09-01,111.800
2008-10-01,112.000
2008-11-01,112.300
2008-12-01,112.800
2009-01-01,113.000
2009-02-01,113.100
2009-03-01,113.100
2009-04-01,113.000
2009-05-01,112.900
2009-06-01,112.900
2009-07-01,113.000
2009-08-01,112.900
2009-09-01,112.900
2009-10-01,113.100
2009-11-01,113.700
2009-12-01,113.900
2010-01-01,114.000
2010-02-01,114.000
2010-03-01,114.200
2010-04-01,113.900
2010-05-01,114.000
2010-06-01,114.200
2010-07-01,114.800
2010-08-01,114.800
2010-09-01,114.800
2010-10-01,114.500
2010-11-01,115.000
2010-12-01,114.400
2011-01-01,114.400
2011-02-01,114.400
2011-03-01,114.800
2011-04-01,114.700
2011-05-01,114.800
2011-06-01,114.900
2011-07-01,114.800
2011-08-01,115.500
2011-09-01,115.500
2011-10-01,115.600
2011-11-01,115.600
2011-12-01,116.100
2012-01-01,116.100
2012-02-01,115.700
2012-03-01,115.100
2012-04-01,115.100
2012-05-01,115.100
2012-06-01,114.500
2012-07-01,116.200
2012-08-01,116.200
2012-09-01,116.200
2012-10-01,116.200
2012-11-01,116.200
2012-12-01,117.500
2013-01-01,117.500
2013-02-01,117.500
2013-03-01,117.800
2013-04-01,118.000
2013-05-01,118.100
2013-06-01,118.200
2013-07-01,118.100
2013-08-01,118.200
2013-09-01,118.400
2013-10-01,118.400
2013-11-01,118.400
2013-12-01,118.300
2014-01-01,118.200
2014-02-01,118.600
2014-03-01,118.600
2014-04-01,118.600
2014-05-01,119.200
2014-06-01,119.300
2014-07-01,119.800
2014-08-01,119.400
2014-09-01,119.400
2014-10-01,119.400
2014-11-01,119.400
2014-12-01,120.800
2015-01-01,120.800
2015-02-01,120.800
2015-03-01,120.800
2015-04-01,120.600
2015-05-01,120.900
2015-06-01,121.300
2015-07-01,121.500
2015-08-01,121.200
2015-09-01,121.200
2015-10-01,121.200
2015-11-01,121.400
2015-12-01,122.000
2016-01-01,122.000
2016-02-01,122.000
2016-03-01,121.500
2016-04-01,121.500
2016-05-01,121.500
2016-06-01,121.500
2016-07-01,121.600
2016-08-01,121.800
2016-09-01,121.800
2016-10-01,121.800
2016-11-01,121.800
2016-12-01,122.100
2017-01-01,122.100
2017-02-01,122.100
2017-03-01,122.100
2017-04-01,122.100
2017-05-01,122.100
2017-06-01,122.100
2017-07-01,121.700
2017-08-01,121.700
2017-09-01,121.800
2017-10-01,121.500
2017-11-01,121.400
2017-12-01,121.500
2018-01-01,121.500
2018-02-01,121.800
2018-03-01,121.200
2018-04-01,121.600
2018-05-01,121.900
2018-06-01,121.900
2018-07-01,121.800
2018-08-01,122.500
2018-09-01,122.600
2018-10-01,122.600
2018-11-01,123.200
2018-12-01,124.500
2019-01-01,124.400
2019-02-01,124.400
2019-03-01,124.400
2019-04-01,124.500
2019-05-01,124.600
2019-06-01,124.800
2019-07-01,125.100
2019-08-01,125.100
2019-09-01,125.600
2019-10-01,125.600
2019-11-01,125.600
2019-12-01,126.900
2020-01-01,127.200
2020-02-01,127.600
2020-03-01,127.800
2020-04-01,128.000
2020-05-01,128.600
2020-06-01,128.600
2020-07-01,128.500
2020-08-01,129.100
2020-09-01,129.600
2020-10-01,129.500
2020-11-01,129.500
2020-12-01,132.500
2021-01-01,132.300
2021-02-01,132.500
2021-03-01,132.000
2021-04-01,132.000
2021-05-01,132.300
2021-06-01,132.000
2021-07-01,132.019
2021-08-01,131.891
2021-09-01,132.086
2021-10-01,132.141
2021-11-01,132.685
2021-12-01,134.131
2022-01-01,135.828
2022-02-01,135.542
2022-03-01,135.929
2022-04-01,135.929
2022-05-01,135.813
2022-06-01,136.060
2022-07-01,135.981
2022-08-01,136.199
2022-09-01,136.623
2022-10-01,136.626
2022-11-01,136.797
2022-12-01,140.275
2023-01-01,140.853
2023-02-01,140.853
2023-03-01,141.276
2023-04-01,141.276
2023-05-01,141.276
2023-06-01,141.285
2023-07-01,141.089
2023-08-01,141.127
2023-09-01,142.365
2023-10-01,142.362
2023-11-01,142.791
2023-12-01,142.791
2024-01-01,142.791
2024-02-01,142.791
2024-03-01,143.012
2024-04-01,142.977
2024-05-01,142.977
2024-06-01,143.019
2024-07-01,143.019
2024-08-01,144.511
2024-09-01,145.358
2024-10-01,145.358
2024-11-01,145.358
2024-12-01,145.358
