observation_date,PCU9241269241262
1998-06-01,100.000
1998-07-01,100.100
1998-08-01,100.300
1998-09-01,100.600
1998-10-01,101.100
1998-11-01,101.200
1998-12-01,101.500
1999-01-01,102.300
1999-02-01,102.300
1999-03-01,102.600
1999-04-01,102.700
1999-05-01,103.100
1999-06-01,103.300
1999-07-01,103.800
1999-08-01,104.100
1999-09-01,104.900
1999-10-01,105.300
1999-11-01,105.400
1999-12-01,105.600
2000-01-01,105.900
2000-02-01,106.100
2000-03-01,106.300
2000-04-01,106.800
2000-05-01,107.300
2000-06-01,107.900
2000-07-01,108.400
2000-08-01,108.600
2000-09-01,108.900
2000-10-01,109.000
2000-11-01,109.100
2000-12-01,109.400
2001-01-01,110.400
2001-02-01,111.300
2001-03-01,111.700
2001-04-01,111.600
2001-05-01,112.200
2001-06-01,112.500
2001-07-01,113.000
2001-08-01,113.300
2001-09-01,113.500
2001-10-01,114.100
2001-11-01,114.600
2001-12-01,114.800
2002-01-01,115.300
2002-02-01,115.600
2002-03-01,116.300
2002-04-01,116.900
2002-05-01,117.000
2002-06-01,118.200
2002-07-01,119.500
2002-08-01,120.100
2002-09-01,121.200
2002-10-01,123.400
2002-11-01,125.100
2002-12-01,125.600
2003-01-01,127.800
2003-02-01,129.100
2003-03-01,130.700
2003-04-01,131.500
2003-05-01,133.000
2003-06-01,133.800
2003-07-01,134.300
2003-08-01,134.800
2003-09-01,135.600
2003-10-01,136.500
2003-11-01,137.800
2003-12-01,138.700
2004-01-01,139.500
2004-02-01,140.500
2004-03-01,141.500
2004-04-01,142.300
2004-05-01,144.100
2004-06-01,144.700
2004-07-01,145.100
2004-08-01,145.900
2004-09-01,146.000
2004-10-01,146.500
2004-11-01,147.100
2004-12-01,147.800
2005-01-01,148.500
2005-02-01,149.000
2005-03-01,150.000
2005-04-01,150.700
2005-05-01,151.600
2005-06-01,152.000
2005-07-01,152.100
2005-08-01,152.400
2005-09-01,152.600
2005-10-01,152.900
2005-11-01,153.300
2005-12-01,154.100
2006-01-01,154.300
2006-02-01,154.500
2006-03-01,154.800
2006-04-01,154.900
2006-05-01,155.600
2006-06-01,155.800
2006-07-01,155.900
2006-08-01,156.100
2006-09-01,156.200
2006-10-01,156.400
2006-11-01,156.500
2006-12-01,156.400
2007-01-01,156.900
2007-02-01,157.000
2007-03-01,157.100
2007-04-01,157.600
2007-05-01,159.000
2007-06-01,159.100
2007-07-01,159.400
2007-08-01,159.500
2007-09-01,158.800
2007-10-01,159.300
2007-11-01,159.700
2007-12-01,159.700
2008-01-01,159.900
2008-02-01,159.800
2008-03-01,159.800
2008-04-01,160.200
2008-05-01,161.100
2008-06-01,161.100
2008-07-01,161.300
2008-08-01,161.500
2008-09-01,162.400
2008-10-01,162.400
2008-11-01,162.500
2008-12-01,162.500
2009-01-01,162.500
2009-02-01,162.800
2009-03-01,162.800
2009-04-01,163.300
2009-05-01,163.500
2009-06-01,164.400
2009-07-01,165.200
2009-08-01,165.300
2009-09-01,168.200
2009-10-01,168.800
2009-11-01,169.300
2009-12-01,169.300
2010-01-01,169.200
2010-02-01,169.100
2010-03-01,168.700
2010-04-01,169.000
2010-05-01,169.100
2010-06-01,169.600
2010-07-01,170.000
2010-08-01,170.100
2010-09-01,172.700
2010-10-01,172.700
2010-11-01,173.000
2010-12-01,173.100
2011-01-01,173.300
2011-02-01,173.500
2011-03-01,173.700
2011-04-01,174.100
2011-05-01,174.500
2011-06-01,174.600
2011-07-01,174.800
2011-08-01,175.300
2011-09-01,177.000
2011-10-01,177.100
2011-11-01,179.000
2011-12-01,179.200
2012-01-01,179.400
2012-02-01,179.500
2012-03-01,179.900
2012-04-01,180.200
2012-05-01,180.400
2012-06-01,180.800
2012-07-01,181.300
2012-08-01,181.400
2012-09-01,183.400
2012-10-01,183.500
2012-11-01,183.600
2012-12-01,183.700
2013-01-01,184.100
2013-02-01,184.400
2013-03-01,184.500
2013-04-01,185.400
2013-05-01,186.700
2013-06-01,187.000
2013-07-01,187.800
2013-08-01,188.400
2013-09-01,189.400
2013-10-01,189.400
2013-11-01,189.500
2013-12-01,190.000
2014-01-01,190.200
2014-02-01,190.600
2014-03-01,190.600
2014-04-01,191.600
2014-05-01,192.300
2014-06-01,192.700
2014-07-01,193.600
2014-08-01,193.800
2014-09-01,195.200
2014-10-01,195.200
2014-11-01,195.300
2014-12-01,195.500
2015-01-01,196.100
2015-02-01,196.000
2015-03-01,196.300
2015-04-01,196.700
2015-05-01,197.500
2015-06-01,198.500
2015-07-01,199.800
2015-08-01,199.900
2015-09-01,202.000
2015-10-01,202.100
2015-11-01,202.300
2015-12-01,202.400
2016-01-01,202.400
2016-02-01,202.500
2016-03-01,203.500
2016-04-01,203.600
2016-05-01,203.900
2016-06-01,204.500
2016-07-01,204.600
2016-08-01,205.400
2016-09-01,203.000
2016-10-01,203.000
2016-11-01,203.200
2016-12-01,203.300
2017-01-01,203.400
2017-02-01,203.600
2017-03-01,203.600
2017-04-01,203.200
2017-05-01,204.000
2017-06-01,205.100
2017-07-01,205.200
2017-08-01,205.200
2017-09-01,204.800
2017-10-01,205.500
2017-11-01,205.600
2017-12-01,205.700
2018-01-01,205.600
2018-02-01,205.800
2018-03-01,206.000
2018-04-01,206.900
2018-05-01,207.200
2018-06-01,207.200
2018-07-01,207.500
2018-08-01,207.500
2018-09-01,208.000
2018-10-01,208.200
2018-11-01,207.300
2018-12-01,207.500
2019-01-01,207.700
2019-02-01,208.100
2019-03-01,208.300
2019-04-01,209.200
2019-05-01,210.500
2019-06-01,210.600
2019-07-01,211.000
2019-08-01,211.400
2019-09-01,211.200
2019-10-01,211.400
2019-11-01,211.400
2019-12-01,211.900
2020-01-01,211.800
2020-02-01,212.000
2020-03-01,212.500
2020-04-01,212.600
2020-05-01,213.200
2020-06-01,213.200
2020-07-01,213.400
2020-08-01,213.400
2020-09-01,214.300
2020-10-01,214.300
2020-11-01,214.300
2020-12-01,215.200
2021-01-01,215.200
2021-02-01,215.100
2021-03-01,215.200
2021-04-01,215.700
2021-05-01,216.300
2021-06-01,216.000
2021-07-01,215.767
2021-08-01,216.032
2021-09-01,216.870
2021-10-01,217.036
2021-11-01,216.897
2021-12-01,216.824
2022-01-01,216.541
2022-02-01,216.651
2022-03-01,217.577
2022-04-01,217.598
2022-05-01,218.423
2022-06-01,218.656
2022-07-01,218.786
2022-08-01,219.028
2022-09-01,220.134
2022-10-01,218.171
2022-11-01,218.751
2022-12-01,219.946
2023-01-01,219.765
2023-02-01,219.996
2023-03-01,221.559
2023-04-01,222.178
2023-05-01,224.947
2023-06-01,227.236
2023-07-01,227.775
2023-08-01,228.179
2023-09-01,233.769
2023-10-01,233.880
2023-11-01,237.330
2023-12-01,237.739
2024-01-01,237.766
2024-02-01,239.813
2024-03-01,241.893
2024-04-01,246.508
2024-05-01,247.564
2024-06-01,247.811
2024-07-01,248.463
2024-08-01,248.489
2024-09-01,259.010
2024-10-01,259.094
2024-11-01,259.241
2024-12-01,259.357
